GISJOIN,total,white,black,amin,asian,nhpi,other,tworaces,nohisp,hisp,over25,highschool,ged,collegelt1,collegegt1,assocdeg,bachdeg,mastersdeg,profdeg,doctoraldeg,povlthalf,povbtnhalfone,povover2,over16,inlabforce,notinlabforce
G18006,718706,668730,19780,1344,10831,334,6383,11304,698955,19751,485478,159715,31085,33687,62350,42477,64555,30112,4098,3932,45992,53123,468041,52883,579133,222322
G18007,755358,451041,226137,2212,23656,451,27882,23979,670994,84364,485608,125694,27021,31157,69297,36505,76072,27718,6549,3709,75888,81771,403109,42628,579470,197788
G18008,719671,659764,30712,965,7486,575,5906,14263,702268,17403,488323,152505,26969,33787,67084,51357,65800,27220,5456,3678,40086,59425,457871,50952,576907,221351
G18009,747995,683396,21889,1725,17974,90,7065,15856,722993,25002,496363,139466,27772,33816,67575,44516,80624,38024,6475,6462,45181,50848,500308,55768,602793,220294
G19001,772171,701470,30479,3127,12891,1264,8199,14741,741212,30959,515281,149838,19749,37464,70804,60944,94344,31534,6755,5100,36807,45752,540587,58994,615844,198715
G19002,780050,698831,32324,1862,18830,447,9605,18151,735890,44160,517999,142795,23383,37920,70469,56060,91486,36232,10149,8340,46732,53831,518598,54964,621703,214908
G19003,822826,728156,34664,2340,26796,723,10174,19973,766536,56290,548926,129705,20250,40694,74682,58596,125527,39136,11333,4797,36166,46586,597527,64818,640378,189081
G19004,757452,699432,12444,4220,16566,695,11190,12905,705565,51887,499167,143099,19318,36718,72336,62823,84463,25849,5733,6239,40726,47034,504854,54944,606429,205311
G20001,708511,626842,22067,4281,11633,807,21941,20940,595773,112738,449982,109622,18946,42002,71334,43473,73584,27025,5308,5406,40620,51268,436311,50947,556216,186832
G20002,714992,622032,33297,9998,11985,341,8802,28537,667571,47421,467935,120693,22927,38653,74578,38799,82552,39227,7428,6459,42207,55734,462243,53367,569680,207433
G20003,762091,615125,64534,2278,35927,613,19096,24518,670772,91319,505414,79625,13006,31055,66931,37992,148884,65576,16384,7674,30175,35384,586856,74412,588417,173261
G20004,723182,596620,49903,7493,23986,382,17749,27049,634044,89138,471344,105895,22105,40593,76899,40752,89442,36914,6971,4242,41008,53884,475007,54768,558252,193334
G21001,720226,642776,49954,1730,4410,633,5492,15231,697700,22526,486970,148926,37210,34168,67473,41797,46821,25306,6241,2617,54935,76738,404045,42114,574422,256786
